memberId	residentialState	yearsEmployment	homeOwnership	annualIncome	incomeVerified	dtiRatio	lengthCreditHistory	numTotalCreditLines	numOpenCreditLines	numOpenCreditLines1Year	revolvingBalance	revolvingUtilizationRate	numDerogatoryRec	numDelinquency2Years	numChargeoff1year	numInquiries6Mon
2305095	NM	10+ years	rent	56471	1	16.8	6	11	9	6	14301	49.02	0	19	10	0
2610493	WA	2-5 years	rent	55038	0	19.99	22	8	7	4	18262	72.4	1	0	0	0
2491679	MS	< 1 year	rent	56610	1	14.33	5	8	5	5	10799	66.27	0	1	1	0
2092798	TX	6-9 years	own	54887	1	14.8	12	14	7	3	15272	61.05	1	0	0	3
2633077	MA	2-5 years	rent	53522	1	10.14	4	21	19	10	19316	56.39	2	14	7	1
2385245	NH	2-5 years	rent	58459	0	15.77	1	18	15	8	18830	59.61	0	0	0	0
2796457	VT	6-9 years	rent	56611	0	13.52	1	9	7	5	17157	43.01	0	0	0	0
2822245	CA	10+ years	mortgage	58163	0	25.22	6	14	9	5	15867	62.55	0	0	0	0
2462353	IN	10+ years	rent	55636	1	9.97	10	19	12	5	12908	67.67	0	20	15	1
2404666	IL	6-9 years	mortgage	54599	0	20.9	26	16	11	10	15235	58.07	1	0	0	1
2211682	IA	1 year	own	56781	1	8.62	4	15	14	11	15900	37.7	0	0	0	10
2306064	UT	6-9 years	mortgage	51089	1	17.54	7	21	15	8	17402	88.24	0	7	5	13
2727099	CA	< 1 year	rent	49704	0	15.67	5	10	9	7	13026	68.96	0	0	0	1
2248818	CT	10+ years	mortgage	56864	0	9.26	7	13	12	7	11140	71.85	0	5	5	2
2276470	ID	10+ years	mortgage	56075	1	13.11	14	14	12	9	10098	71.71	0	1	1	0
2437396	FL	1 year	rent	57647	1	21.8	3	9	7	6	13754	50.61	0	0	0	0
2537040	TN	1 year	mortgage	57635	1	8.13	8	15	8	7	17414	54.31	0	0	0	1
2264122	NV	2-5 years	own	57898	0	13.73	5	14	12	4	15241	53.64	0	20	11	0
2723224	WI	6-9 years	own	51667	1	7.89	4	25	25	19	14639	42.14	0	0	0	2
2294710	DE	6-9 years	mortgage	52092	1	21.9	4	19	11	6	12296	50.46	0	0	0	1
2273732	OR	1 year	mortgage	56815	1	20.38	13	14	9	4	15763	45.89	0	0	0	1
2841525	WY	< 1 year	mortgage	50693	0	18	4	2	2	2	11729	69.1	0	0	0	0
2688887	CA	6-9 years	rent	55230	1	13.89	10	15	10	4	10630	48.11	0	0	0	0
2767856	MN	< 1 year	own	60827	0	20.85	5	13	7	5	13469	26.7	0	0	0	2
2526733	FL	6-9 years	rent	59391	1	22.04	29	16		7	20634	86.97	0	0	0	1
2455559	IL	< 1 year	own	59310	1	23.16	9	17	13	11	18467	53.47	0	0	0	0
2113837	KY	1 year	rent	52467	1	23.29	7	16	9	8	14767	44.55	0	0	0	0
2093340	CO	6-9 years	own	55743	1	16.32	7	17	10	6	15808	56.17	0	1	1	0
2094750	CA	< 1 year	mortgage	53344	1	18.23	2	9	7	6	18223	59.89	10	0	0	0
2787329	CA	2-5 years	mortgage	51664	1	4.15	4	8	7	5	14902	82.14	0	6	5	0
2206016	IA	2-5 years	mortgage	53636	1	18.88	34	18	13	6	16896	83.05	0	17	13	0
2813877	KS	10+ years	own	51629	0	18.14	2	8	8	4	16411	86.53	0	0	0	2
2017331	MA	6-9 years	rent	57068	1	19.01	5	20	18	13	15588	30.9	0	2	2	2
2613460	ME	10+ years	mortgage	61537	1	17.62	36	20	12	9	16619	74.44	0	0	0	1
2895862	NJ	1 year	rent	59617	0	15.41	3	14	11	8	13517	74.18	0	0	0	1
2651481	IA	6-9 years	own	57814	1	13.56	1	13	13	7	13481	63.29	0	0	0	2
2379194	IL	2-5 years	own	55134	0	19.32	3	16	12	11	17909	60.31	0	0	0	0
2143461	CA	10+ years	rent	50043	1	14.7	10	16	10	6	10506	68.3	0	0	0	1
2124878	SC	1 year	mortgage	47946	1	27.06	9	9	5	5	14027	75.35	15	0	0	1
2747724	CA	6-9 years	rent	51151	1	20.05	1	13	11	5	13846	98.46	0	0	0	0
2547651	ND	10+ years	rent	58704	1	14.88	6	8	4	3	17810	68.84	0	10	9	3
2382724	RI	1 year	own	51283	1	25.62	19	15	11	7	17283	79.25	0	0	0	0
2428982	IA	6-9 years	own	54967	1	19.82	13	12	12	6	12430	36.21	0	0	0	1
2248022	DC	< 1 year	mortgage	51844	1	21.72	10	17	15	11	12544	77.54	0	0	0	0
2596320	FL	6-9 years	rent	56343	1	19.76	25	21	15	13	13389	39.47	0	16	13	3
2178405	SD	2-5 years	own	50920	0	18.38	28	15	12	12	17370	42.2	0	0	0	13
