loanId	memberId	date	purpose	isJointApplication	loanAmount	term	interestRate	monthlyPayment	grade	loanStatus
1888978	2305095	12/10/2014	debtconsolidation	0	25190	60 months	6.25	490	E3	Current
1299695	2610493	9/15/2014	debtconsolidation	0	21189	60 months	10.49	455	B3	Current
1875016	2491679	9/11/2014	debtconsolidation	0	29908	60 months	9.11	622	B2	Current
1440478	2092798	4/22/2016	homeimprovement	0	13053	48 months	11.89	343	B3	Current
1124634	2633077	2/3/2016	debtconsolidation	0	24613	60 months	15.13	587	A3	Current
1697652	2385245	11/14/2015	debtconsolidation	0	17905	60 months	10.43	384	A1	Current
1050350	2796457	5/14/2014	debtconsolidation	0	26238	36 months	10.96	859	B3	Current
1278582	2822245	4/8/2015	healthcare	0	21940	48 months	10.28	559	B1	Current
1245174	2462353	10/22/2014	debtconsolidation	0	18195	36 months	12.08	605	A1	Current
1127834	2404666	12/12/2015	debtconsolidation	0	24418	48 months	11.63	639	B1	Current
1155124	2211682	8/15/2014	debtconsolidation	0	25612	36 months	17.99	926	B2	Current
1299358	2306064	2/4/2016	debtconsolidation	0	25659	48 months	14.36	706	C1	Current
1366944	2727099	11/13/2015	debtconsolidation	0	17914	60 months	13.28	410	B1	Current
1183120	2248818	12/1/2015	debtconsolidation	0	15555	36 months	13.02	524	A2	Current
1702217	2276470	5/14/2014	debtconsolidation	0	20447	36 months	13.35	692	D2	Current
1541157	2437396	11/22/2015	debtconsolidation	0	31487	48 months	11.7	825	A2	Current
1673267	2537040	5/5/2016	debtconsolidation	0	21991	60 months	9.72	464	C1	Current
1667717	2264122	5/22/2015	debtconsolidation	0	18067	48 months	15.3	506	A3	Current
1579131	2723224	3/30/2016	debtconsolidation	1	24085	60 months	13.74	557	B2	Current
1769263	2294710	8/31/2014	debtconsolidation	0	21298	60 months	6.94	421	C1	Current
1329565	2273732	5/1/2015	homeimprovement	0	27036	48 months	12.72	722	A3	Current
1303036	2841525	11/5/2015	homeimprovement	0	18883	48 months	9.76	477	C2	Current
1715374	2688887	10/20/2014	debtconsolidation	0	23140	36 months	14.89	801	E2	Current
1514131	2767856	5/12/2016	debtconsolidation	0	16569	36 months	7.15	513	E1	Current
1892304	2526733	5/15/2016	education	0	24686	60 months	6.39	482	A3	Current
1632177	2455559	2/8/2016	debtconsolidation	1	16905	36 months	10.16	547	D1	Current
1280412	2113837	3/28/2016	debtconsolidation	0	14369	36 months	11.61	475	D1	Current
1327382	2093340	8/7/2015	debtconsolidation	0	17045	60 months	7.67	343	B1	Current
1062053	2094750	6/22/2016	debtconsolidation	0	16621	36 months	13.65	565	C1	Current
1596972	2787329	6/24/2014	debtconsolidation	0	20006	60 months	11.25	437	A3	Current
1352877	2206016	10/1/2014	debtconsolidation	0	17245	60 months	11.01	375	C2	Current
1110030	2813877	4/19/2015	education	0	23100	36 months	9.19	737	B3	Current
1667662	2017331	12/11/2015	homeimprovement	0	22080	60 months	12.16	493	C1	Current
1356935	2613460	3/31/2015	debtconsolidation	0	25544	36 months	12.73	857	D1	Current
1193050	2895862	7/23/2014	debtconsolidation	0	17654	60 months	7.45	353	D2	Current
1302768	2651481	9/24/2015	debtconsolidation	0	19269	36 months	12.59	645	B2	Current
1834936	2379194	6/19/2014	debtconsolidation	0	22680	60 months	8.46	465	A1	Current
1594262	2143461	4/11/2016	debtconsolidation	0	20150	48 months	7.47	487	D1	Current
1821279	2124878	3/28/2016	debtconsolidation	0	17101	60 months	18.01	434	D3	Default
1400739	2747724	7/9/2014	debtconsolidation	0	38541	36 months	7.08	1191	B1	Current
1648935	2547651	5/20/2014	debtconsolidation	0	18168	36 months	8.61	574	C1	Current
