iter	Passed	Remaining
0	180	180038
1	225	112323
2	270	89859
3	318	79278
4	367	73148
5	425	70532
6	490	69550
7	542	67244
8	592	65209
9	641	63532
10	697	62748
11	755	62175
12	815	61901
13	870	61333
14	920	60467
15	965	59376
16	1022	59095
17	1079	58895
18	1128	58288
19	1175	57589
20	1223	57045
21	1276	56756
22	1328	56442
23	1380	56136
24	1442	56264
25	1495	56015
26	1540	55517
27	1588	55145
28	1687	56514
29	1763	57009
30	1818	56840
31	1863	56376
32	1908	55915
33	1961	55733
34	2000	55164
35	2044	54743
36	2086	54312
37	2126	53837
38	2178	53677
39	2234	53620
40	2299	53774
41	2340	53378
42	2381	53011
43	2429	52784
44	2472	52476
45	2516	52198
46	2569	52109
47	2627	52113
48	2685	52116
49	2735	51979
50	2780	51729
51	2833	51662
52	2885	51565
53	2936	51435
54	2979	51199
55	3034	51155
56	3083	51006
57	3131	50860
58	3176	50669
59	3229	50602
60	3274	50403
61	3322	50264
62	3378	50242
63	3422	50056
64	3512	50528
65	3556	50332
66	3598	50112
67	3649	50021
68	3698	49902
69	3746	49780
70	3789	49585
71	3848	49606
72	3892	49425
73	3942	49335
74	3996	49291
75	4053	49279
76	4095	49096
77	4137	48903
78	4187	48819
79	4227	48611
80	4269	48443
81	4305	48197
82	4350	48070
83	4397	47955
84	4460	48012
85	4517	48009
86	4573	47992
87	4629	47981
88	4677	47879
89	4720	47732
90	4771	47662
91	4819	47567
92	4859	47388
93	4913	47353
94	4961	47264
95	5002	47109
96	5042	46939
97	5085	46804
98	5135	46741
99	5186	46679
100	5238	46630
101	5277	46464
102	5322	46354
103	5375	46313
104	5416	46172
105	5463	46078
106	5512	46003
107	5550	45842
108	5588	45681
109	5641	45643
110	5683	45520
111	5730	45431
112	5776	45340
113	5820	45239
114	5867	45156
115	5917	45097
116	5964	45016
117	6012	44937
118	6053	44817
119	6096	44709
120	6145	44641
121	6190	44552
122	6239	44485
123	6283	44390
124	6332	44327
125	6372	44201
126	6413	44087
127	6466	44052
128	6507	43935
129	6552	43853
130	6601	43792
131	6638	43653
132	6685	43582
133	6733	43519
134	6774	43408
135	6824	43352
136	6867	43262
137	6903	43123
138	6945	43021
139	6985	42909
140	7029	42827
141	7068	42709
142	7114	42639
143	7162	42579
144	7213	42535
145	7260	42470
146	7302	42375
147	7340	42254
148	7380	42153
149	7426	42081
150	7467	41985
151	7512	41914
152	7557	41835
153	7599	41745
154	7645	41682
155	7698	41650
156	7739	41556
157	7783	41479
158	7823	41378
159	7872	41330
160	7917	41258
161	7965	41202
162	8023	41200
163	8076	41171
164	8127	41131
165	8193	41163
166	8246	41133
167	8294	41079
168	8353	41075
169	8395	40988
170	8454	40985
171	8500	40923
172	8545	40850
173	8597	40811
174	8639	40730
175	8677	40628
176	8724	40566
177	8772	40510
178	8820	40456
179	8865	40386
180	8910	40320
181	8960	40273
182	9015	40250
183	9070	40226
184	9121	40184
185	9167	40119
186	9215	40067
187	9256	39980
188	9305	39931
189	9358	39894
190	9398	39810
191	9438	39718
192	9487	39669
193	9527	39582
194	9580	39549
195	9624	39480
196	9666	39403
197	9704	39306
198	9742	39214
199	9790	39160
200	9824	39054
201	9867	38982
202	9913	38920
203	9961	38869
204	10017	38850
205	10058	38770
206	10103	38706
207	10150	38648
208	10191	38572
209	10238	38514
210	10285	38459
211	10325	38381
212	10370	38316
213	10424	38288
214	10468	38223
215	10509	38146
216	10557	38095
217	10607	38049
218	10656	38004
219	10707	37963
220	10754	37907
221	10798	37843
222	10834	37751
223	10881	37695
224	10926	37636
225	10967	37560
226	11005	37476
227	11044	37394
228	11089	37334
229	11125	37247
230	11164	37166
231	11202	37084
232	11239	36999
233	11280	36925
234	11317	36843
235	11364	36790
236	11402	36709
237	11453	36669
238	11498	36612
239	11544	36557
240	11586	36488
241	11626	36418
242	11668	36351
243	11716	36301
244	11755	36226
245	11796	36156
246	11835	36082
247	11875	36010
248	11913	35932
249	11962	35887
250	12012	35845
251	12058	35792
252	12107	35749
253	12160	35716
254	12200	35644
255	12239	35570
256	12282	35509
257	12325	35448
258	12369	35390
259	12409	35319
260	12459	35278
261	12504	35221
262	12549	35166
263	12594	35111
264	12642	35064
265	12678	34984
266	12720	34922
267	12760	34852
268	12802	34791
269	12841	34719
270	12885	34663
271	12925	34595
272	12967	34532
